Below 4,250	4,000	–	4,000	380	180	560	10	–	10	–	–	–	390	180	570
4,250 – 4,749.99	4,500	–	4,500	427.50	202.50	630	10	–	10	–	–	–	437.50	202.50	640
4,750 – 5,249.99	5,000	–	5,000	475	225	700	10	–	10	–	–	–	485	225	710
5,250 – 5,749.99	5,500	–	5,500	522.50	247.50	770	10	–	10	–	–	–	532.50	247.50	780
5,750 – 6,249.99	6,000	–	6,000	570	270	840	10	–	10	–	–	–	580	270	580
6,250 – 6,749.99	6,500	–	6,500	617.50	292.50	910	10	–	10	–	–	–	627.50	292.50	920
6,750 – 7,249.99	7,000	–	7,000	665	315	980	10	–	10	–	–	–	675	315	990
7,250 – 7,749.99	7,500	–	7,500	712.50	337.50	1,050	10	–	10	–	–	–	722.50	337.50	1,060
7,750 – 8,249.99	8,000	–	8,000	760	360	1,120	10	–	10	–	–	–	770	360	1,130
8,250 – 8,749.99	8,500	–	8,500	807.50	382.50	1,190	10	–	10	–	–	–	817.50	382.50	1,200
8,750 – 9,249.99	9,000	–	9,000	855	405	1,260	10	–	10	–	–	–	865	405	1,270
9,250 – 9,749.99	9,500	–	9,500	902.50	427.50	1,330	10	–	10	–	–	–	912.50	427.50	1,340
9,750 – 10,249.99	10,000	–	10,000	950	450	1,400	10	–	10	–	–	–	960	450	1,410
10,250 – 10,749.99	10,500	–	10,500	997.50	472.50	1,470	10	–	10	–	–	–	1,007.50	472.50	1,480
10,750 – 11,249.99	11,000	–	11,000	1,045	495	1,540	10	–	10	–	–	–	1,055	495	1,550
11,250 – 11,749.99	11,500	–	11,500	1,092.50	517.50	1,610	10	–	10	–	–	–	1,102.50	517.50	1,620
11,750 – 12,249.99	12,000	–	12,000	1,140	540	1,680	10	–	10	–	–	–	1,150	540	1,690
12,250 – 12,749.99	12,500	–	12,500	1,187.50	562.50	1,750	10	–	10	–	–	–	1,197.50	562.50	1,760
12,750 – 13,249.99	13,000	–	13,000	1,235	585	1,820	10	–	10	–	–	–	1,245	585	1,830
13,250 – 13,749.99	13,500	–	13,500	1,282.50	607.50	1,890	10	–	10	–	–	–	1,292.50	607.50	1,900
13,750 – 14,249.99	14,000	–	14,000	1,330	630	1,960	10	–	10	–	–	–	1,340	630	1,970
14,250 – 14,749.99	14,500	–	14,500	1,377.50	652.50	2,030	10	–	10	–	–	–	1,387.50	652.50	2,040
14,750 – 15,249.99	15,000	–	15,000	1,425	675	2,100	30	–	30	–	–	–	1,455	675	2,130
